Q381,P1,Q402
Q381,P24,Q392
Q381,P19,Q387
Q381,P11,"Papież Bonifacy IX poleca kustoszowi gnieźnieńskiemu, by mocą władzy apostolskiej
               udzielił szlachetnemu Mikołajowi Pieniążkowi z Węchadłowa i Witowic ekspektatywy na
               kanonię łęczycką, pomimo że Mikołaj posiada już kanonię gnieźnieńską i archidiakonat
               łęczycki, a ponadto otrzymał niedawno papieskie ekspektatywy na prałaturę w kapitule
               łęczyckiej (pod warunkiem opuszczenia archidiakonatu w razie jej objęcia) oraz na
               kanonię krakowską, a dzisiaj otrzymał także papieską ekspektatywę na kanonię
               uniejowską."
Q381,P8,"AAV, Reg. Lat., vol. 6, f. 257r-258v (or. f. CCLVII-CCLVIII)",S20,Q388,S14,Q382,S16,257r-258v,S16,CCLVII-CCLVIII
Q381,P12,+1389-11-13T00:00:00Z/11
Q381,P13,Q31
Q381,P17,"MPV 8, nr 31",P18,Q385
Q381,P17,"BP 3, nr 111",P18,Q386
Q381,P17,"RG 2, nr 05985",P18,Q386
Q381,P22,Q10
Q381,P23,Q391
Q381,P52,Q394
Q381,P31,Q30
Q381,P30,24
Q381,P34,C(ancellaria)
Q381,P27,Q10
Q381,P27,Q393
Q381,P27,Q30
Q381,P27,Q391
Q381,P27,Q142
Q381,P27,Q394
Q381,P27,Q118
Q381,P27,Q398
Q381,P27,Q149
Q381,P27,Q146
