Q475,P1,Q402
Q475,P24,Q406
Q475,P19,Q403
Q475,P11,"Papież Bonifacy IX przyznaje Pawłowi s. Nankera z Wierzchoniowa, kanonikowi
               krakowskiemu, łaskę, by w obliczu śmierci wybrany przez Pawła spowiednik mógł jeden
               raz udzielić mu mocą władzy apostolskiej pełnego odpuszczenia grzechów, pod
               określonymi warunkami."
Q475,P8,"AAV, Reg. Lat., vol. 34, f. 172v",S20,Q388,S14,Q401,S16,172v
Q475,P12,+1394-01-06T00:00:00Z/11
Q475,P13,Q31
Q475,P17,"BP 3, nr 354",P18,Q386
Q475,P22,Q10
Q475,P23,Q441
Q475,P31,Q30
Q475,P30,14
Q475,P27,Q10
Q475,P27,Q441
Q475,P27,Q30
Q475,P27,Q149
