Q470,P1,Q402
Q470,P24,Q392
Q470,P19,Q434
Q470,P11,"Papież Bonifacy IX poleca oficjałowi naumburskiemu, by mocą władzy apostolskiej
               udzielił Mikołajowi Kalow, mistrzowi sztuk i bakałarzowi medycyny, ekspektatywy na
               kanonię większą w kapitule miśnieńskiej, pomimo że Mikołaj posiada już kanonię
               lubuską oraz kanonię w kolegiacie NMP w Wurzen."
Q470,P8,"ASV, Reg. Lat., vol. 6, f. 258v-259v (or. f.
                     CCLVIII-CCLVIIII)",S20,Q388,S14,Q382,S16,258v-259v,S16,CCLVIII-CCLVIIII
Q470,P12,+1389-11-13T00:00:00Z/11
Q470,P13,Q31
Q470,P17,"MPV 8, nr 39",P18,Q385
Q470,P17,"RG 2, nr 05764",P18,Q386
Q470,P22,Q10
Q470,P52,Q430
Q423,P38,"Nicolaum Kalow, canonicum
            Lubucensem, qui, ut asserit, magister in artibus et bacallarius in medicina existit"
Q423,P42,Q426
Q423,P42,Q424
Q470,P31,Q30
Q470,P30,21
Q470,P34,C(ancellaria)
Q432,P29,Q416,S51,Q470
Q470,P27,Q10
Q470,P27,Q423
Q470,P27,Q30
Q470,P27,Q432
Q470,P27,Q429
Q470,P27,Q430
Q470,P27,Q469
Q470,P27,Q427
